timestep,adopted,alpha
82,0.9755555555555555,0.3
83,0.9775,0.3
84,0.9733333333333333,0.3
85,0.9800000000000001,0.3
86,0.98,0.3
87,0.98,0.3
88,0.96,0.3
89,0.96,0.3
90,1.0,0.3
0,0.0,0.1
1,0.0,0.1
2,0.0,0.1
3,0.0,0.1
4,0.0,0.1
5,0.0,0.1
6,0.0,0.1
7,0.0,0.1
8,0.0,0.1
9,0.0,0.1
10,0.0,0.1
11,0.0,0.1
12,0.0,0.1
13,0.0,0.1
14,0.0,0.1
15,0.0,0.1
16,0.0,0.1
17,0.0,0.1
18,0.0,0.1
19,0.0,0.1
20,0.0,0.1
21,0.0,0.1
22,0.0,0.1
23,0.0,0.1
24,0.0,0.1
25,0.0,0.1
26,0.0,0.1
27,0.0,0.1
28,0.0,0.1
29,0.0,0.1
30,0.0,0.1
31,0.0,0.1
32,0.0,0.1
33,0.0,0.1
34,0.0,0.1
35,0.0,0.1
36,0.0,0.1
37,0.0,0.1
38,0.0,0.1
39,0.0,0.1
40,0.0,0.1
41,0.0,0.1
42,0.0,0.1
43,0.0,0.1
44,0.0,0.1
45,0.0,0.1
46,0.0,0.1
47,0.0,0.1
48,0.0,0.1
49,0.0,0.1
50,0.0,0.1
51,0.0,0.1
52,0.0,0.1
53,0.0,0.1
54,0.0,0.1
55,0.0,0.1
56,0.0,0.1
57,0.0,0.1
58,0.0,0.1
59,0.0,0.1
60,0.0,0.1
61,0.0,0.1
62,0.0,0.1
63,0.0,0.1
64,0.0,0.1
65,0.0006666666666666666,0.1
66,0.0006666666666666666,0.1
67,0.0013333333333333333,0.1
68,0.0033333333333333335,0.1
69,0.006,0.1
70,0.008,0.1
71,0.012,0.1
72,0.02,0.1
73,0.030000000000000002,0.1
74,0.042,0.1
75,0.05733333333333333,0.1
76,0.07466666666666667,0.1
77,0.09466666666666666,0.1
78,0.12000000000000001,0.1
79,0.154,0.1
80,0.192,0.1
81,0.234,0.1
82,0.2793333333333334,0.1
83,0.332,0.1
84,0.40066666666666667,0.1
85,0.4666666666666667,0.1
86,0.518,0.1
87,0.5706666666666667,0.1
88,0.6213333333333334,0.1
89,0.6693333333333332,0.1
90,0.7213333333333334,0.1
91,0.7566666666666666,0.1
92,0.7893333333333333,0.1
93,0.8160000000000001,0.1
94,0.8386666666666667,0.1
95,0.8641379310344827,0.1
96,0.8792857142857143,0.1
97,0.8940740740740741,0.1
98,0.9092307692307693,0.1
99,0.9130434782608695,0.1
100,0.920952380952381,0.1
101,0.9273684210526316,0.1
102,0.92375,0.1
103,0.9214285714285715,0.1
104,0.915,0.1
105,0.93,0.1
106,0.9418181818181818,0.1
107,0.9400000000000001,0.1
108,0.9542857142857143,0.1
109,0.95,0.1
110,0.9099999999999999,0.1
111,0.9099999999999999,0.1
112,0.9099999999999999,0.1
113,0.9299999999999999,0.1
114,0.95,0.1
115,0.9,0.1
116,0.92,0.1
117,0.94,0.1
118,0.98,0.1
119,0.98,0.1
120,0.98,0.1
121,0.98,0.1
122,0.98,0.1
123,0.98,0.1
124,0.98,0.1
125,0.98,0.1
126,1.0,0.1
0,0.0,1.0
1,0.0,1.0
